,DQN
0,10.0
1,21.0
2,16.0
3,18.0
4,27.0
5,43.0
6,20.0
7,13.0
8,30.0
9,15.0
10,12.0
11,10.0
12,11.0
13,36.0
14,11.0
15,12.0
16,21.0
17,18.0
18,13.0
19,15.0
20,27.0
21,13.0
22,23.0
23,9.0
24,18.0
25,13.0
26,14.0
27,25.0
28,47.0
29,23.0
30,18.0
31,15.0
32,19.0
33,11.0
34,24.0
35,15.0
36,19.0
37,32.0
38,24.0
39,13.0
40,12.0
41,41.0
42,12.0
43,19.0
44,21.0
45,34.0
46,39.0
47,17.0
48,12.0
49,11.0
50,23.0
51,29.0
52,20.0
53,23.0
54,25.0
55,17.0
56,16.0
57,19.0
58,33.0
59,15.0
60,36.0
61,12.0
62,39.0
63,10.0
64,14.0
65,29.0
66,19.0
67,31.0
68,16.0
69,21.0
70,17.0
71,11.0
72,20.0
73,20.0
74,14.0
75,11.0
76,15.0
77,11.0
78,36.0
79,13.0
80,23.0
81,10.0
82,21.0
83,13.0
84,18.0
85,40.0
86,14.0
87,30.0
88,15.0
89,23.0
90,22.0
91,13.0
92,10.0
93,23.0
94,16.0
95,80.0
96,33.0
97,29.0
98,19.0
99,14.0
100,24.0
101,21.0
102,19.0
103,18.0
104,13.0
105,11.0
106,24.0
107,12.0
108,40.0
109,13.0
110,11.0
111,13.0
112,40.0
113,19.0
114,20.0
115,15.0
116,9.0
117,18.0
118,26.0
119,12.0
120,35.0
121,20.0
122,20.0
123,21.0
124,35.0
125,17.0
126,16.0
127,16.0
128,46.0
129,21.0
130,17.0
131,12.0
132,29.0
133,13.0
134,20.0
135,57.0
136,18.0
137,12.0
138,40.0
139,48.0
140,16.0
141,15.0
142,17.0
143,41.0
144,16.0
145,54.0
146,19.0
147,15.0
148,10.0
149,23.0
150,84.0
151,22.0
152,20.0
153,21.0
154,15.0
155,28.0
156,10.0
157,22.0
158,32.0
159,10.0
160,11.0
161,12.0
162,25.0
163,23.0
164,18.0
165,14.0
166,19.0
167,33.0
168,13.0
169,21.0
170,14.0
171,28.0
172,12.0
173,14.0
174,13.0
175,13.0
176,32.0
177,17.0
178,14.0
179,20.0
180,44.0
181,17.0
182,13.0
183,11.0
184,52.0
185,13.0
186,12.0
187,18.0
188,10.0
189,15.0
190,31.0
191,13.0
192,17.0
193,32.0
194,20.0
195,15.0
196,14.0
197,15.0
198,13.0
199,20.0
200,14.0
201,9.0
202,37.0
203,42.0
204,32.0
205,15.0
206,18.0
207,17.0
208,39.0
209,25.0
210,15.0
211,17.0
212,11.0
213,31.0
214,49.0
215,36.0
216,13.0
217,19.0
218,17.0
219,16.0
220,44.0
221,25.0
222,14.0
223,19.0
224,18.0
225,13.0
226,21.0
227,33.0
228,14.0
229,25.0
230,16.0
231,42.0
232,20.0
233,22.0
234,13.0
235,29.0
236,14.0
237,12.0
238,16.0
239,18.0
240,16.0
241,22.0
242,11.0
243,19.0
244,12.0
245,11.0
246,29.0
247,13.0
248,11.0
249,33.0
250,13.0
251,11.0
252,16.0
253,10.0
254,24.0
255,12.0
256,24.0
257,32.0
258,11.0
259,10.0
260,22.0
261,27.0
262,9.0
263,10.0
264,25.0
265,11.0
266,32.0
267,12.0
268,18.0
269,12.0
270,14.0
271,32.0
272,15.0
273,11.0
274,18.0
275,11.0
276,17.0
277,17.0
278,21.0
279,14.0
280,11.0
281,71.0
282,14.0
283,9.0
284,11.0
285,11.0
286,11.0
287,12.0
288,26.0
289,10.0
290,34.0
291,20.0
292,14.0
293,16.0
294,14.0
295,28.0
296,27.0
297,18.0
298,18.0
299,20.0
300,13.0
301,12.0
302,27.0
303,16.0
304,48.0
305,14.0
306,13.0
307,14.0
308,14.0
309,12.0
310,19.0
311,9.0
312,30.0
313,12.0
314,32.0
315,18.0
316,12.0
317,13.0
318,29.0
319,19.0
320,24.0
321,11.0
322,29.0
323,11.0
324,23.0
325,28.0
326,16.0
327,33.0
328,19.0
329,17.0
330,12.0
331,20.0
332,26.0
333,35.0
334,11.0
335,11.0
336,16.0
337,16.0
338,49.0
339,12.0
340,21.0
341,21.0
342,17.0
343,16.0
344,15.0
345,8.0
346,18.0
347,27.0
348,23.0
349,24.0
350,35.0
351,15.0
352,35.0
353,14.0
354,12.0
355,11.0
356,9.0
357,21.0
358,17.0
359,16.0
360,14.0
361,12.0
362,19.0
363,49.0
364,22.0
365,36.0
366,17.0
367,12.0
368,18.0
369,24.0
370,11.0
371,10.0
372,38.0
373,12.0
374,21.0
375,12.0
376,12.0
377,17.0
378,12.0
379,14.0
380,20.0
381,12.0
382,13.0
383,9.0
384,10.0
385,42.0
386,15.0
387,10.0
388,18.0
389,29.0
390,38.0
391,15.0
392,11.0
393,11.0
394,16.0
395,21.0
396,9.0
397,15.0
398,14.0
399,33.0
400,20.0
401,29.0
402,13.0
403,23.0
404,16.0
