,Rainbow DQN
0,10.0
1,10.0
2,9.0
3,10.0
4,10.0
5,8.0
6,8.0
7,9.0
8,10.0
9,10.0
10,9.0
11,10.0
12,10.0
13,9.0
14,9.0
15,10.0
16,9.0
17,9.0
18,9.0
19,9.0
20,10.0
21,10.0
22,11.0
23,11.0
24,9.0
25,10.0
26,9.0
27,19.0
28,9.0
29,44.0
30,26.0
31,17.0
32,15.0
33,12.0
34,14.0
35,11.0
36,11.0
37,9.0
38,10.0
39,10.0
40,10.0
41,9.0
42,9.0
43,10.0
44,9.0
45,8.0
46,10.0
47,10.0
48,10.0
49,8.0
50,9.0
51,9.0
52,10.0
53,9.0
54,10.0
55,9.0
56,9.0
57,9.0
58,10.0
59,8.0
60,10.0
61,9.0
62,10.0
63,9.0
64,11.0
65,10.0
66,9.0
67,11.0
68,11.0
69,13.0
70,11.0
71,12.0
72,11.0
73,10.0
74,11.0
75,15.0
76,39.0
77,13.0
78,14.0
79,12.0
80,12.0
81,13.0
82,9.0
83,9.0
84,10.0
85,10.0
86,15.0
87,59.0
88,10.0
89,46.0
90,10.0
91,12.0
92,10.0
93,90.0
94,14.0
95,9.0
96,12.0
97,10.0
98,11.0
99,17.0
100,76.0
101,54.0
102,13.0
103,95.0
104,37.0
105,101.0
106,17.0
107,73.0
108,11.0
109,96.0
110,12.0
111,159.0
112,14.0
113,210.0
114,191.0
115,167.0
116,145.0
117,145.0
118,166.0
119,162.0
120,145.0
121,146.0
122,156.0
123,186.0
124,190.0
125,161.0
126,159.0
127,165.0
128,171.0
129,152.0
130,162.0
131,154.0
132,215.0
133,200.0
134,219.0
135,207.0
136,188.0
137,180.0
138,164.0
139,159.0
140,183.0
141,186.0
142,187.0
143,185.0
144,170.0
145,171.0
146,176.0
147,178.0
148,176.0
149,171.0
150,190.0
151,181.0
152,174.0
153,165.0
154,187.0
155,185.0
156,167.0
157,167.0
158,157.0
159,169.0
160,169.0
161,192.0
162,185.0
163,177.0
164,221.0
165,185.0
166,192.0
167,178.0
168,199.0
169,198.0
170,181.0
171,164.0
172,201.0
173,180.0
174,179.0
175,196.0
176,288.0
177,224.0
178,262.0
179,302.0
180,185.0
181,352.0
182,207.0
183,189.0
184,211.0
185,139.0
186,177.0
187,144.0
188,266.0
189,180.0
190,192.0
191,157.0
192,198.0
193,145.0
194,175.0
195,230.0
196,182.0
197,168.0
198,200.0
199,183.0
200,147.0
201,282.0
202,239.0
203,173.0
204,166.0
205,207.0
206,151.0
207,207.0
208,159.0
209,198.0
210,147.0
211,249.0
212,202.0
213,486.0
214,201.0
215,172.0
216,236.0
217,500.0
218,178.0
219,245.0
220,337.0
221,208.0
222,233.0
223,278.0
224,219.0
225,186.0
226,261.0
227,185.0
228,174.0
229,220.0
230,260.0
231,299.0
232,239.0
233,449.0
234,199.0
235,201.0
236,199.0
237,219.0
238,187.0
239,175.0
240,193.0
241,203.0
242,189.0
243,162.0
244,182.0
245,182.0
246,163.0
247,217.0
248,301.0
249,342.0
250,215.0
251,167.0
252,208.0
253,181.0
254,301.0
255,171.0
256,309.0
257,287.0
258,152.0
259,177.0
260,165.0
261,195.0
262,204.0
263,313.0
264,188.0
265,193.0
266,198.0
267,194.0
268,173.0
269,167.0
270,213.0
271,381.0
272,168.0
273,184.0
274,177.0
275,189.0
276,255.0
277,341.0
278,354.0
279,183.0
280,205.0
281,190.0
282,186.0
283,196.0
284,192.0
285,199.0
286,429.0
287,213.0
288,227.0
289,155.0
290,220.0
291,229.0
292,287.0
293,224.0
294,330.0
295,177.0
296,273.0
297,420.0
298,260.0
299,371.0
300,306.0
301,201.0
302,205.0
303,411.0
304,353.0
305,176.0
306,272.0
307,362.0
308,358.0
309,181.0
310,184.0
311,287.0
312,308.0
313,161.0
314,500.0
315,500.0
316,190.0
317,193.0
318,162.0
319,313.0
320,221.0
321,199.0
322,188.0
323,222.0
324,241.0
325,241.0
326,215.0
327,173.0
328,217.0
329,195.0
330,158.0
331,323.0
332,302.0
333,371.0
334,298.0
335,197.0
336,169.0
337,344.0
338,332.0
339,199.0
340,335.0
341,297.0
342,314.0
343,316.0
344,149.0
345,173.0
346,265.0
347,500.0
348,338.0
349,304.0
350,220.0
351,271.0
352,183.0
353,296.0
354,168.0
355,192.0
356,351.0
357,394.0
358,298.0
359,366.0
360,207.0
361,219.0
362,182.0
363,312.0
364,210.0
365,388.0
366,225.0
367,218.0
368,462.0
369,340.0
370,254.0
371,281.0
372,299.0
373,293.0
374,328.0
375,275.0
376,299.0
377,290.0
378,322.0
379,325.0
380,437.0
381,233.0
382,202.0
383,280.0
384,315.0
385,273.0
386,199.0
387,183.0
388,327.0
389,315.0
390,306.0
391,278.0
392,285.0
393,310.0
394,253.0
395,375.0
396,282.0
397,278.0
398,500.0
399,500.0
400,500.0
401,500.0
402,500.0
403,305.0
404,176.0
405,172.0
406,298.0
407,250.0
408,500.0
409,251.0
410,359.0
411,223.0
412,221.0
413,179.0
414,192.0
415,158.0
416,209.0
417,199.0
418,224.0
419,287.0
420,361.0
421,188.0
422,500.0
423,176.0
424,500.0
425,157.0
426,500.0
427,500.0
428,500.0
429,500.0
430,162.0
431,429.0
432,225.0
433,500.0
434,331.0
435,500.0
436,419.0
437,500.0
438,177.0
439,500.0
440,500.0
441,206.0
442,236.0
443,354.0
444,500.0
445,166.0
446,220.0
447,280.0
448,204.0
449,199.0
450,239.0
451,473.0
452,440.0
453,278.0
454,293.0
455,340.0
456,492.0
457,461.0
458,227.0
459,500.0
460,360.0
461,357.0
462,456.0
463,462.0
464,500.0
465,408.0
466,412.0
467,481.0
468,500.0
469,227.0
470,444.0
471,251.0
472,237.0
473,257.0
474,237.0
475,416.0
476,500.0
477,500.0
478,337.0
479,259.0
480,283.0
481,398.0
482,500.0
483,329.0
484,398.0
485,317.0
486,387.0
487,396.0
488,311.0
489,500.0
490,340.0
491,315.0
492,464.0
493,500.0
494,500.0
495,500.0
496,473.0
497,316.0
498,319.0
499,305.0
500,322.0
501,264.0
502,276.0
503,346.0
504,500.0
505,275.0
506,500.0
507,337.0
508,298.0
509,301.0
510,500.0
511,292.0
512,264.0
513,318.0
514,327.0
515,429.0
516,500.0
517,500.0
518,500.0
519,500.0
520,500.0
521,500.0
522,500.0
523,500.0
524,500.0
525,500.0
526,500.0
527,500.0
528,500.0
529,500.0
530,500.0
531,500.0
532,500.0
533,500.0
534,500.0
535,500.0
536,500.0
537,500.0
538,500.0
539,500.0
540,500.0
541,500.0
542,500.0
543,488.0
544,500.0
545,500.0
546,500.0
547,500.0
548,500.0
549,500.0
550,500.0
551,500.0
552,500.0
553,500.0
554,500.0
