,SAC
0,18.0
1,23.0
2,11.0
3,11.0
4,13.0
5,20.0
6,33.0
7,32.0
8,13.0
9,11.0
10,48.0
11,25.0
12,21.0
13,13.0
14,16.0
15,25.0
16,11.0
17,20.0
18,15.0
19,92.0
20,39.0
21,17.0
22,19.0
23,17.0
24,16.0
25,10.0
26,52.0
27,15.0
28,16.0
29,10.0
30,13.0
31,21.0
32,45.0
33,20.0
34,12.0
35,13.0
36,24.0
37,39.0
38,14.0
39,24.0
40,45.0
41,13.0
42,18.0
43,38.0
44,18.0
45,32.0
46,45.0
47,15.0
48,22.0
49,55.0
50,66.0
51,62.0
52,97.0
53,142.0
54,27.0
55,132.0
56,119.0
57,356.0
58,181.0
59,182.0
60,241.0
61,227.0
62,294.0
63,267.0
64,218.0
65,173.0
66,185.0
67,212.0
68,219.0
69,312.0
70,205.0
71,275.0
72,247.0
73,205.0
74,265.0
75,225.0
76,158.0
77,183.0
78,208.0
79,158.0
80,179.0
81,145.0
82,214.0
83,146.0
84,160.0
85,138.0
86,150.0
87,226.0
88,209.0
89,150.0
90,216.0
91,189.0
92,180.0
93,197.0
94,162.0
95,177.0
96,159.0
97,190.0
98,150.0
99,146.0
100,177.0
101,157.0
102,151.0
103,139.0
104,136.0
105,159.0
106,149.0
107,144.0
108,140.0
109,144.0
110,140.0
111,140.0
112,143.0
113,132.0
114,129.0
115,132.0
116,130.0
117,136.0
118,133.0
119,128.0
120,135.0
121,128.0
122,135.0
123,132.0
124,125.0
125,132.0
126,139.0
127,143.0
128,135.0
129,133.0
130,147.0
131,152.0
132,143.0
133,151.0
134,158.0
135,171.0
136,149.0
137,162.0
138,178.0
139,187.0
140,183.0
141,223.0
142,256.0
143,231.0
144,333.0
145,500.0
146,500.0
147,500.0
148,500.0
149,500.0
150,500.0
151,500.0
152,500.0
153,500.0
154,500.0
155,500.0
156,500.0
157,500.0
158,500.0
159,500.0
160,500.0
161,500.0
162,500.0
163,500.0
164,500.0
165,500.0
166,500.0
167,500.0
168,500.0
169,500.0
170,500.0
171,500.0
172,500.0
173,500.0
174,500.0
175,500.0
176,500.0
177,500.0
178,500.0
179,500.0
180,500.0
181,500.0
182,500.0
183,500.0
184,500.0
185,500.0
186,500.0
187,500.0
188,500.0
189,500.0
190,500.0
191,500.0
192,500.0
193,500.0
194,500.0
195,500.0
196,500.0
197,500.0
198,500.0
199,500.0
200,500.0
201,500.0
202,500.0
203,500.0
204,500.0
205,500.0
206,500.0
207,500.0
208,500.0
209,500.0
210,500.0
211,500.0
212,500.0
213,500.0
214,500.0
215,500.0
216,500.0
217,500.0
218,500.0
219,500.0
220,500.0
221,500.0
222,500.0
223,451.0
224,262.0
225,432.0
226,500.0
227,500.0
228,500.0
229,460.0
230,500.0
231,500.0
232,500.0
233,500.0
234,500.0
235,500.0
236,500.0
237,500.0
238,500.0
239,500.0
240,500.0
241,500.0
242,500.0
243,500.0
244,500.0
245,500.0
246,500.0
247,500.0
248,500.0
249,500.0
250,500.0
251,500.0
252,500.0
253,500.0
254,500.0
255,500.0
256,500.0
257,500.0
258,500.0
259,500.0
260,500.0
261,500.0
262,500.0
263,500.0
264,500.0
265,500.0
266,500.0
267,500.0
268,500.0
269,500.0
270,500.0
271,500.0
272,500.0
273,500.0
274,500.0
275,500.0
276,500.0
277,500.0
278,500.0
279,500.0
280,500.0
281,500.0
282,500.0
283,500.0
284,500.0
285,500.0
286,500.0
287,500.0
288,500.0
289,500.0
290,500.0
291,500.0
292,500.0
293,491.0
294,416.0
295,500.0
296,500.0
297,500.0
298,500.0
299,500.0
300,500.0
301,500.0
302,500.0
303,500.0
304,500.0
305,500.0
306,500.0
307,500.0
308,500.0
309,500.0
310,500.0
311,500.0
312,500.0
313,500.0
314,500.0
315,500.0
316,500.0
317,472.0
318,310.0
319,500.0
320,500.0
321,500.0
322,500.0
323,500.0
324,500.0
325,500.0
326,500.0
327,266.0
328,320.0
329,500.0
330,500.0
331,500.0
332,500.0
333,500.0
334,500.0
335,500.0
336,500.0
337,500.0
338,500.0
339,500.0
340,500.0
341,500.0
342,500.0
343,500.0
344,500.0
345,500.0
346,500.0
347,500.0
348,500.0
349,500.0
350,500.0
351,500.0
352,500.0
353,500.0
354,500.0
355,500.0
356,500.0
357,500.0
358,500.0
359,500.0
360,500.0
361,500.0
362,500.0
363,500.0
364,500.0
365,500.0
366,500.0
367,500.0
368,500.0
369,500.0
370,500.0
371,500.0
372,500.0
373,500.0
374,500.0
375,500.0
376,500.0
377,500.0
378,500.0
379,500.0
380,500.0
381,500.0
382,500.0
383,500.0
384,500.0
385,500.0
386,500.0
387,500.0
388,500.0
389,500.0
390,500.0
391,500.0
392,352.0
393,500.0
394,500.0
395,333.0
396,353.0
397,500.0
398,500.0
399,500.0
400,500.0
401,500.0
402,500.0
403,500.0
404,500.0
405,500.0
406,500.0
407,500.0
408,500.0
409,500.0
410,500.0
411,500.0
412,500.0
413,500.0
414,377.0
415,436.0
416,416.0
417,496.0
418,500.0
419,500.0
420,500.0
421,500.0
422,500.0
423,500.0
424,500.0
425,500.0
426,500.0
427,487.0
428,301.0
429,500.0
430,500.0
431,500.0
432,500.0
433,500.0
434,500.0
435,500.0
436,500.0
437,500.0
438,500.0
439,500.0
440,500.0
441,500.0
442,500.0
443,500.0
444,500.0
445,500.0
446,500.0
447,500.0
448,500.0
449,500.0
450,500.0
451,500.0
452,500.0
453,500.0
454,500.0
455,500.0
456,500.0
457,500.0
458,500.0
459,500.0
460,500.0
461,500.0
462,500.0
463,500.0
464,500.0
465,500.0
466,500.0
467,500.0
468,500.0
469,500.0
470,500.0
471,500.0
472,500.0
473,500.0
474,500.0
475,500.0
476,500.0
477,500.0
478,500.0
479,500.0
480,500.0
481,500.0
482,500.0
483,500.0
484,500.0
485,500.0
486,500.0
487,500.0
488,500.0
489,500.0
490,500.0
491,500.0
492,500.0
493,500.0
494,500.0
495,500.0
496,500.0
497,500.0
498,500.0
499,500.0
500,500.0
501,500.0
502,500.0
503,500.0
504,500.0
505,500.0
506,500.0
507,500.0
508,500.0
509,500.0
510,500.0
511,500.0
512,500.0
513,500.0
514,500.0
515,347.0
516,290.0
517,500.0
518,432.0
519,416.0
520,500.0
521,500.0
522,477.0
523,500.0
524,500.0
525,500.0
526,500.0
527,500.0
528,500.0
529,500.0
530,500.0
531,500.0
532,500.0
533,500.0
534,500.0
535,500.0
536,500.0
537,500.0
538,500.0
539,500.0
540,500.0
541,500.0
542,500.0
543,500.0
544,500.0
545,500.0
546,500.0
547,500.0
548,500.0
549,500.0
550,500.0
551,500.0
552,500.0
553,500.0
554,500.0
555,500.0
556,500.0
557,500.0
558,500.0
559,500.0
560,500.0
561,500.0
562,500.0
563,500.0
564,500.0
565,500.0
566,500.0
567,500.0
568,500.0
569,500.0
570,500.0
571,500.0
572,500.0
573,500.0
574,500.0
575,500.0
576,500.0
577,500.0
578,500.0
579,500.0
580,360.0
581,405.0
582,500.0
583,500.0
584,500.0
585,500.0
586,500.0
587,500.0
588,500.0
589,500.0
590,258.0
591,458.0
592,226.0
593,286.0
594,356.0
595,500.0
596,500.0
597,500.0
598,500.0
599,500.0
600,500.0
601,366.0
602,500.0
603,500.0
604,500.0
605,500.0
606,500.0
607,500.0
608,500.0
609,500.0
610,500.0
611,500.0
612,500.0
613,500.0
614,500.0
615,500.0
616,500.0
617,500.0
618,500.0
619,500.0
620,500.0
621,500.0
622,500.0
623,500.0
624,500.0
625,500.0
626,500.0
627,500.0
628,500.0
629,500.0
630,500.0
631,500.0
632,500.0
633,500.0
634,500.0
635,500.0
636,443.0
637,400.0
638,451.0
639,320.0
640,500.0
641,476.0
642,500.0
643,500.0
644,500.0
645,500.0
646,500.0
647,500.0
648,292.0
649,500.0
650,500.0
651,500.0
652,500.0
653,500.0
654,500.0
655,500.0
656,500.0
657,500.0
658,500.0
659,500.0
660,500.0
661,500.0
662,500.0
663,500.0
664,500.0
665,449.0
666,482.0
667,500.0
668,456.0
669,500.0
670,500.0
671,500.0
672,500.0
673,443.0
674,500.0
675,500.0
676,500.0
677,470.0
678,500.0
679,500.0
680,500.0
681,500.0
