,DQN
0,-14
1,-4
2,-20
3,-20
4,-2
5,0
6,-20
7,-20
8,-20
9,1
10,-11
11,-20
12,-6
13,-8
14,-20
15,-15
16,-20
17,-20
18,-15
19,-2
20,-1
21,1
22,-3
23,-5
24,-12
25,-14
26,-6
27,0
28,-8
29,-8
30,-20
31,-3
32,-9
33,-1
34,-5
35,-2
36,-20
37,-1
38,-4
39,-20
40,1
41,-1
42,-20
43,-7
44,-6
45,-20
46,-20
47,0
48,-5
49,-20
50,-11
51,-6
52,-8
53,0
54,-18
55,-5
56,-3
57,-13
58,-18
59,-15
60,-1
61,-20
62,-16
63,-3
64,-4
65,-20
66,-11
67,-5
68,-20
69,-20
70,-20
71,-9
72,-9
73,-8
74,-14
75,0
76,-6
77,-17
78,-5
79,-18
80,-9
81,-1
82,-20
83,-3
84,-1
85,-13
86,1
87,-12
88,-5
89,-14
90,-2
91,-3
92,-2
93,-1
94,-4
95,-17
96,0
97,-3
98,1
99,-7
100,-15
101,-9
102,1
103,-15
104,-6
105,0
106,-20
107,1
108,-12
109,-10
110,-7
111,-7
112,0
113,-7
114,-6
115,-1
116,-20
117,-13
118,-16
119,-5
120,1
121,-12
122,-13
123,-20
124,-3
125,-11
126,-10
127,-5
128,-3
129,-4
130,-10
131,-11
132,-9
133,1
134,1
135,-3
136,-4
137,-5
138,-20
139,-13
140,-8
141,-5
142,0
143,-4
144,0
145,-2
146,-20
147,-9
148,0
149,-3
150,-18
151,-11
152,-16
153,-4
154,-4
155,-8
156,-4
157,-4
158,-1
159,-20
160,-4
161,-20
162,-18
163,-10
164,-15
165,0
166,-3
167,-13
168,-1
169,-2
170,-2
171,-2
172,-3
173,-11
174,-5
175,0
176,-11
177,-5
178,-11
179,-7
180,-6
181,-20
182,-3
183,-1
184,-2
185,-2
186,-1
187,1
188,-7
189,-7
190,-20
191,0
192,-7
193,0
194,-8
195,-9
196,-11
197,0
198,-9
199,-3
200,-9
201,-20
202,-10
203,-5
204,-5
205,0
206,0
207,-4
208,-14
209,-1
210,-11
211,-20
212,-3
213,-1
214,0
215,-10
216,-4
217,-12
218,-2
219,-1
220,0
221,-2
222,0
223,-16
224,0
225,-3
226,-15
227,1
228,0
229,-4
230,-2
231,1
232,1
233,-6
234,0
235,-15
236,-20
237,-4
238,-14
239,-14
240,-4
241,-1
242,-3
243,-5
244,-12
245,-1
246,-15
247,-8
248,-3
249,-3
250,-4
251,-2
252,0
253,-2
254,-6
255,-13
256,-14
257,0
258,-13
259,1
260,-9
261,-9
262,-14
263,-12
264,-7
265,-9
266,-7
267,-2
268,-10
269,-3
270,-20
271,0
272,-4
273,-4
274,-10
275,-5
276,-13
277,-7
278,0
279,0
280,-9
281,-2
282,1
283,-9
284,-9
285,-20
286,-1
287,-20
288,-2
289,-6
290,1
291,-3
292,-11
293,-4
294,-6
295,-3
296,-4
297,-10
298,-1
299,-6
300,-1
301,-4
302,-4
303,-15
304,-17
305,-3
306,-5
307,-1
308,1
309,-5
310,-1
311,-3
312,-7
313,-1
314,-11
315,-20
316,-6
317,-2
318,0
319,-1
320,-2
321,0
322,-1
323,-3
324,0
325,0
326,-6
327,-4
328,-2
329,-1
330,1
331,-7
332,0
333,0
334,-3
335,-2
336,-5
337,1
338,-14
339,-11
340,-2
341,-1
342,1
343,-1
344,-2
345,-2
346,-2
347,-1
348,-8
349,-3
350,-20
351,-2
352,-4
353,-14
354,-2
355,-1
356,-5
357,-3
358,-1
359,0
360,-2
361,0
362,0
363,-2
364,-16
365,-1
366,0
367,-1
368,-20
369,-1
370,-1
371,-5
372,-8
373,0
374,1
375,-1
376,-4
377,-2
378,0
379,0
380,-3
381,-1
382,-2
383,1
384,-10
385,-4
386,-2
387,-13
388,-7
389,0
390,-6
391,1
392,0
393,-2
394,0
395,-3
396,-6
397,-18
398,-2
399,-1
400,0
401,-20
402,-1
403,-2
404,-10
405,-1
406,-5
407,0
408,0
409,-5
410,-1
411,-1
412,-1
413,-10
414,-9
415,0
416,-1
417,-1
418,-8
419,-7
420,-1
421,0
422,-3
423,-2
424,-3
425,0
426,-2
427,-20
428,-6
429,-18
430,0
431,-20
432,-1
433,0
434,-5
435,-3
436,-1
437,-11
438,-9
439,0
440,-2
441,-2
