,SAC
0,-20
1,-2
2,-20
3,-1
4,-20
5,-20
6,-16
7,-20
8,0
9,-9
10,0
11,-8
12,-15
13,-6
14,-3
15,-2
16,-9
17,1
18,-20
19,-20
20,-12
21,-20
22,-4
23,-20
24,-16
25,1
26,-20
27,-15
28,-20
29,-3
30,-9
31,0
32,-20
33,-4
34,-13
35,-20
36,-20
37,-6
38,-7
39,-14
40,-4
41,-20
42,-9
43,-20
44,-20
45,0
46,-20
47,1
48,-14
49,-15
50,-5
51,-2
52,-20
53,1
54,-6
55,0
56,0
57,1
58,-20
59,-1
60,-20
61,-3
62,-20
63,-20
64,-20
65,-20
66,-4
67,-1
68,-20
69,-16
70,-17
71,-20
72,-7
73,-7
74,-18
75,-7
76,-20
77,1
78,-5
79,-8
80,-1
81,-20
82,-9
83,-16
84,-1
85,-20
86,-20
87,-17
88,-20
89,1
90,-2
91,0
92,-7
93,-20
94,-13
95,-20
96,-4
97,-1
98,-20
99,-6
100,-7
101,-8
102,-20
103,-20
104,-1
105,-20
106,-14
107,1
108,-20
109,0
110,-16
111,-20
112,-1
113,1
114,-5
115,-7
116,1
117,-20
118,-20
119,-2
120,-5
121,-20
122,-20
123,-8
124,0
125,-17
126,-6
127,-1
128,-20
129,-20
130,-7
131,-12
132,-9
133,-20
134,-11
135,-20
136,-10
137,-16
138,-20
139,-20
140,-11
141,-20
142,-20
143,-20
144,0
145,-11
146,-14
147,0
148,-12
149,-2
150,0
151,-11
152,-6
153,1
154,-11
155,-16
156,-2
157,-8
158,-18
159,-16
160,-20
161,-1
162,-9
163,-6
164,0
165,-6
166,-20
167,-20
168,-20
169,-7
170,-5
171,-10
172,-10
173,-20
174,-20
175,-20
176,-9
177,0
178,-20
179,-2
180,-20
181,-20
182,-12
183,-20
184,-13
185,-9
186,-15
187,-4
188,-20
189,-16
190,-20
191,-14
192,-20
193,1
194,-20
195,-20
196,-11
197,-13
198,-5
199,0
200,-2
201,-20
202,-2
203,-20
204,-1
205,-2
206,0
207,-18
208,-2
209,-20
210,-9
211,-17
212,1
213,-20
214,-8
215,-20
216,-20
217,-20
218,-9
219,-20
220,-11
221,-7
222,-20
223,-18
224,-14
225,1
226,-16
227,-12
228,-1
229,-17
230,-16
231,-20
232,-2
233,1
234,-12
235,-2
236,-20
237,-20
238,-20
239,-15
240,-9
241,-20
242,-3
243,-15
244,-1
245,-20
246,-9
247,-20
248,-16
249,1
250,-5
251,1
252,-3
253,-11
254,-4
255,-1
256,-12
257,-14
258,-6
259,0
260,-10
261,-20
262,-18
263,-2
264,-20
265,0
266,-2
267,-20
268,-17
269,-20
270,-2
271,-6
272,0
273,-5
274,-20
275,-1
276,-14
277,1
278,1
279,-20
280,-5
281,1
282,-20
283,1
284,-5
285,1
286,-8
287,-1
288,-1
289,-20
290,-20
291,-7
292,-13
293,-20
294,-2
295,-8
296,-20
297,-20
298,-20
299,-20
300,-15
301,-2
302,1
303,-6
304,-20
305,-20
306,1
307,-5
308,-15
309,-20
310,1
311,-2
312,-3
313,0
314,-20
315,-20
316,-16
317,-3
318,1
319,-10
320,-20
321,-7
322,-20
323,1
324,-14
325,-18
326,-14
327,-9
328,-14
329,-3
330,-20
331,-1
332,-6
333,-20
334,-4
335,-13
336,-11
337,-20
338,-9
339,-4
340,-4
341,-10
342,-20
343,-9
344,-13
345,-20
346,-20
347,-12
348,0
349,-9
350,-11
351,-1
352,-1
353,-20
354,-2
355,-6
356,-3
357,-20
358,-9
359,1
360,-8
361,1
362,-13
363,-2
364,-2
365,-14
366,-20
367,1
368,-1
369,-16
370,-20
371,-11
372,1
373,-6
374,1
375,-9
376,0
377,-13
378,-20
379,-20
380,-5
381,-20
382,-20
383,-2
384,-4
385,-20
386,-4
387,-20
388,0
389,-18
390,-6
391,-20
392,-20
393,0
394,-1
395,-2
396,-20
397,-16
398,-9
399,-14
400,-20
401,-2
402,-1
403,-6
404,-20
405,-20
406,-1
407,-20
408,1
409,-20
410,0
411,-3
412,-11
413,-20
414,-3
415,1
416,-20
417,-1
418,-14
419,-11
420,-20
421,-20
422,-6
423,-20
424,-20
425,-8
426,-5
427,-12
428,0
429,-1
430,-20
431,-8
432,-20
433,-20
434,-20
435,-20
436,0
437,-1
438,0
439,0
440,-7
441,-20
442,1
443,-20
444,-20
445,-13
446,0
447,-20
448,-20
449,-20
450,-1
451,0
452,-20
453,1
454,-20
455,-20
456,-20
457,-3
458,-20
459,-20
460,-20
461,-20
462,-20
463,0
464,-20
465,-1
466,-20
467,-20
468,-20
469,-20
470,-20
471,0
472,-20
473,-20
474,-20
475,-20
476,-20
477,-20
478,-20
479,-20
480,-20
481,-20
482,-20
483,-20
484,-20
485,-20
486,-20
487,-20
488,-20
489,-20
490,-20
491,-20
492,-20
493,-20
494,1
495,1
496,-20
497,-20
498,-20
499,-20
500,-20
501,-20
502,-20
503,-20
504,-20
505,-20
506,-20
507,-20
508,-20
509,-20
510,-20
511,-20
512,-20
513,1
514,-20
515,1
516,-20
517,-20
518,-20
519,-20
520,1
521,-20
522,-20
523,1
524,-20
525,-20
526,-20
527,1
528,-20
529,-20
530,-20
531,-20
532,1
533,-20
534,-20
535,-20
536,-20
537,-20
538,-20
539,-20
540,1
541,-20
542,-20
543,-20
544,-11
545,-20
546,-16
547,-20
548,-3
549,-20
550,-10
551,-3
552,-13
553,-20
554,-20
555,-2
556,-3
557,-20
558,-20
559,-12
560,-20
561,0
562,-20
563,-20
564,-20
565,-20
566,-20
567,-20
568,-3
569,0
570,-8
571,-20
572,-14
573,-20
574,-20
575,-2
576,-20
577,-20
578,-20
579,-20
580,-20
581,-20
582,0
583,-20
584,-20
585,-10
586,-14
587,-20
588,-10
589,-20
590,-20
591,-2
592,-20
593,0
594,-6
595,-20
596,-6
597,-5
598,-20
599,-20
600,-2
601,-20
602,1
603,-8
604,-20
605,-20
606,-15
607,-20
608,1
609,-20
610,-13
611,0
612,-7
613,1
614,-20
615,-4
616,-20
617,-20
618,-8
619,-5
620,-8
621,-2
622,-20
623,-20
624,-20
625,-20
626,-20
627,1
628,-9
629,-20
630,-14
631,-20
632,-8
633,-3
634,-20
635,-20
636,1
637,-5
638,-2
639,-20
640,-1
641,-9
642,0
643,-20
644,-20
645,-6
646,-20
647,-20
648,-8
649,1
650,-20
651,-11
652,-5
653,-5
654,-20
655,0
656,-2
657,-20
658,-1
659,-14
660,-20
661,-20
662,-5
663,-7
664,-16
665,-20
666,-2
667,-1
668,0
669,-20
670,-5
671,-10
672,-20
673,-20
674,-20
675,-20
676,-20
677,-20
678,-20
679,-9
680,-20
681,-1
682,-1
683,-20
684,-20
685,-2
686,-20
687,-20
688,-20
689,-20
690,-3
691,1
692,-11
693,-1
694,-2
695,-20
696,-5
697,-2
698,0
699,-2
700,0
701,-3
702,-1
703,-20
704,-10
705,-20
706,-4
707,-20
708,-20
709,-20
710,0
711,-20
712,-2
713,-1
714,-3
715,1
716,-4
717,-20
718,1
719,1
720,-3
721,-5
722,-20
723,-1
724,-2
725,-5
726,-5
727,-1
728,-7
729,-9
730,-8
731,-2
732,-1
733,-20
734,-20
735,-2
736,-4
737,-20
738,-6
739,-1
740,-7
741,-4
742,1
743,-20
744,1
745,-5
746,-20
747,-1
748,-2
749,-20
750,-20
751,0
752,-20
753,-20
754,0
755,-4
756,-20
757,-20
758,-4
759,1
760,-12
761,1
762,-10
763,-1
764,1
765,-1
766,-1
767,0
768,0
769,1
770,-20
771,-20
772,-4
773,-20
774,-1
775,-20
776,-20
777,-8
778,-20
779,-3
780,-12
781,-3
782,-12
783,-20
784,-20
785,-20
786,-10
787,-2
788,-1
789,-1
790,-20
791,1
792,1
793,-1
794,-5
795,-1
796,-1
797,0
798,-2
799,-1
800,-5
801,0
802,-2
803,-20
804,-2
805,-20
806,-2
807,1
808,-1
809,-3
810,1
811,-2
812,0
813,-1
814,-20
815,0
816,-20
817,-2
818,-2
819,-1
820,-20
821,-15
822,-1
823,-1
824,-1
825,-20
826,-20
827,-20
828,-15
829,-20
830,-20
831,-20
832,-2
833,-20
834,0
835,-20
836,-3
837,-20
838,-14
839,-20
840,-20
841,0
842,-1
843,-10
844,1
845,-9
846,-1
847,-15
848,-11
849,0
850,-1
851,-17
852,-20
853,-3
854,-1
855,-3
856,-20
857,0
858,-15
859,-1
860,-6
861,-2
862,0
863,-20
864,-20
865,0
866,-20
867,-1
868,-1
869,-20
870,-20
871,-2
872,0
873,-12
874,-8
875,0
876,-1
877,-5
878,-1
879,-1
880,-20
881,-5
882,-1
883,-1
884,-1
885,-20
886,-13
887,-20
888,-20
889,-1
890,-20
891,-1
892,-2
893,-2
894,-1
895,-5
896,-8
897,-1
898,-9
899,-6
900,0
901,1
902,-1
903,-1
904,1
905,-2
906,-9
907,1
908,-3
909,-2
910,-20
911,-9
912,-6
913,-4
914,0
915,-9
916,-8
917,-4
918,-13
919,-1
920,-6
921,1
922,-1
923,0
924,-12
925,-7
926,-8
927,-1
928,-6
929,-20
930,-1
931,-2
932,-11
933,-2
934,-1
935,-1
936,-5
937,-6
938,-20
939,-4
940,-1
941,1
942,-2
943,-3
944,-3
945,1
946,-6
947,-13
948,-1
949,-20
950,-13
951,0
952,-1
953,-1
954,-5
955,-20
956,-11
957,-4
958,1
959,0
960,-3
961,-1
962,1
963,1
964,0
965,0
966,0
967,-4
968,-20
969,0
970,-16
971,0
972,-4
973,-20
974,-1
975,-20
976,-4
977,-3
978,-14
979,-20
980,-5
981,-10
982,1
983,-1
984,-17
985,-1
986,-1
987,-1
988,-1
989,0
990,-8
991,-1
992,-2
993,-1
994,-20
995,-2
996,0
997,-20
998,-1
999,-1
1000,0
1001,1
1002,-1
1003,-10
1004,1
1005,1
1006,-2
1007,-20
1008,-5
1009,-10
1010,-3
1011,0
1012,1
1013,-1
1014,-2
1015,-2
1016,1
1017,-20
1018,-2
1019,-1
1020,-10
1021,-1
1022,-20
1023,-4
1024,-11
1025,0
1026,-5
1027,-7
1028,-2
1029,-2
1030,0
1031,1
1032,-8
1033,-1
1034,-1
1035,-1
1036,0
1037,-8
1038,-8
1039,-1
1040,-6
1041,1
1042,0
1043,-1
1044,-1
1045,-10
1046,0
1047,-20
1048,1
1049,-1
1050,-2
1051,-20
1052,-1
1053,-1
1054,-2
1055,-5
1056,-5
1057,-1
1058,-3
1059,0
1060,0
1061,0
1062,-12
1063,-2
1064,-12
1065,-3
1066,0
1067,-1
1068,-20
1069,-4
1070,-2
1071,-13
1072,-9
1073,1
1074,-5
1075,0
1076,1
1077,-20
1078,-12
1079,-1
1080,-8
1081,-2
1082,-1
1083,-2
1084,-2
1085,-1
1086,-3
1087,-3
1088,-14
1089,-2
1090,-8
1091,-2
1092,-3
1093,-16
1094,-2
1095,-2
1096,-3
1097,-12
1098,1
1099,-1
1100,1
1101,-1
1102,1
1103,-1
1104,1
1105,-2
1106,-2
1107,-9
1108,0
1109,-8
1110,-2
1111,-1
1112,-4
1113,-20
1114,-12
1115,-3
1116,-1
1117,-4
1118,-2
1119,-20
1120,-2
1121,-9
1122,-2
1123,-20
1124,-1
1125,-2
1126,0
1127,-6
1128,-5
1129,-1
1130,0
1131,0
1132,-20
1133,-1
1134,-2
1135,-4
1136,1
1137,-1
1138,-1
1139,-20
1140,-4
1141,-1
1142,-1
1143,-1
1144,0
1145,-1
1146,-9
1147,1
1148,-20
1149,-2
1150,-2
1151,0
1152,-4
1153,-12
1154,-1
1155,0
1156,-20
1157,1
1158,-20
1159,-2
1160,-20
1161,-1
1162,0
1163,1
1164,-7
1165,-13
1166,1
1167,0
1168,-20
1169,-6
1170,-6
1171,1
1172,-1
1173,-4
1174,-2
1175,1
1176,1
1177,-2
1178,-1
1179,-7
1180,0
1181,-7
1182,0
1183,1
1184,-4
1185,-1
1186,0
1187,1
1188,-4
1189,-2
1190,-20
1191,-2
1192,-9
1193,-20
1194,-1
1195,0
1196,-2
1197,-4
1198,-3
1199,-1
1200,-5
1201,-2
1202,-2
1203,0
1204,-1
1205,-2
1206,-10
1207,-4
1208,-6
1209,-3
1210,-4
1211,-3
1212,1
1213,1
1214,0
1215,-7
1216,0
1217,-2
1218,-17
1219,-3
1220,0
1221,-1
1222,-2
1223,-4
1224,-1
1225,0
1226,-6
1227,-2
1228,-6
1229,-1
1230,0
1231,0
1232,-7
1233,-3
1234,-2
1235,-7
1236,-6
1237,-1
1238,-3
1239,-6
1240,0
1241,-1
1242,0
1243,-3
1244,-4
1245,-6
1246,0
1247,1
1248,0
1249,-4
1250,0
1251,-12
1252,0
1253,0
1254,-1
1255,0
1256,-3
1257,0
1258,-2
1259,0
1260,-3
1261,-1
1262,-2
1263,-5
1264,-1
1265,-4
1266,-5
1267,1
1268,-2
1269,-3
1270,-2
1271,-1
1272,-6
1273,-6
1274,-2
1275,1
1276,-2
1277,-3
1278,0
1279,-12
1280,-9
1281,0
1282,0
1283,-3
1284,-20
1285,1
1286,-4
1287,-3
1288,1
1289,-12
1290,-1
1291,0
1292,-1
1293,-5
1294,-2
1295,-2
1296,-2
1297,-7
1298,-1
1299,0
1300,-1
1301,-20
1302,-20
1303,-3
1304,0
1305,-1
1306,-2
1307,-20
1308,-1
1309,-17
1310,-6
1311,-2
1312,-5
1313,-8
1314,-1
1315,-3
1316,-13
1317,-1
1318,-1
1319,-8
1320,-8
1321,-1
1322,-1
1323,-6
1324,-7
1325,-1
1326,-3
1327,0
1328,-7
1329,0
1330,-1
1331,-1
1332,-12
1333,-2
1334,-1
1335,-1
1336,-5
1337,-7
1338,-20
1339,-3
1340,0
1341,-10
1342,-3
1343,0
1344,0
1345,-7
1346,-3
1347,-1
1348,-6
1349,-4
1350,0
1351,-10
1352,-3
1353,-2
1354,0
1355,-1
1356,-3
1357,-3
1358,1
1359,-3
1360,0
1361,-3
1362,-4
1363,-1
1364,-7
1365,-10
1366,-3
1367,-1
1368,-1
1369,0
1370,-4
