,SAC
0,-20
1,-2
2,-20
3,-1
4,-20
5,-20
6,-16
7,-20
8,0
9,-9
10,0
11,-8
12,-15
13,-6
14,-3
15,-2
16,-9
17,1
18,-20
19,-20
20,-12
21,-20
22,-4
23,-20
24,-16
25,1
26,-20
27,-15
28,-20
29,-3
30,-9
31,0
32,-20
33,-4
34,-13
35,-20
36,-20
37,0
38,-5
39,-20
40,-12
41,-20
42,-9
43,-1
44,-7
45,-20
46,-9
47,1
48,-7
49,-20
50,-11
51,-14
52,-2
53,1
54,-1
55,-20
56,-2
57,-8
58,-11
59,-1
60,-20
61,-3
62,-18
63,-20
64,-20
65,-20
66,-4
67,-1
68,-20
69,-16
70,-17
71,-20
72,-20
73,-20
74,-1
75,-16
76,-20
77,-20
78,-3
79,0
80,-6
81,-20
82,-11
83,1
84,-7
85,-20
86,-5
87,1
88,1
89,-2
90,1
91,-20
92,-7
93,-20
94,-2
95,-20
96,-1
97,-4
98,-17
99,-20
100,-9
101,-20
102,-1
103,-20
104,-7
105,-20
106,-20
107,-20
108,-12
109,-3
110,-12
111,-20
112,-12
113,-10
114,-1
115,-16
116,-12
117,-16
118,-14
119,-4
120,-20
121,-6
122,0
123,-20
124,-4
125,0
126,-2
127,-16
128,-9
129,-20
130,1
131,-9
132,-20
133,-20
134,-7
135,-20
136,-3
137,-5
138,-6
139,-2
140,-18
141,-20
142,-15
143,-20
144,-2
145,-2
146,-7
147,-15
148,-20
149,-12
150,-1
151,-20
152,-12
153,-2
154,-20
155,-3
156,-11
157,-20
158,-20
159,-2
160,-7
161,-7
162,-20
163,-8
164,-4
165,-8
166,-20
167,0
168,-20
169,-2
170,1
171,-13
172,1
173,-20
174,-3
175,-20
176,-20
177,-1
178,-13
179,-20
180,-6
181,-20
182,-3
183,-2
184,-20
185,-8
186,-11
187,-16
188,-7
189,-2
190,0
191,-20
192,-17
193,-20
194,-20
195,-15
196,-12
197,-9
198,-6
199,1
200,1
201,1
202,-20
203,-14
204,-1
205,-3
206,-20
207,-16
208,-2
209,-8
210,-20
211,-9
212,-12
213,-14
214,-20
215,-14
216,-16
217,-20
218,-20
219,0
220,-20
221,-10
222,0
223,-9
224,-20
225,-11
226,-5
227,-6
228,-20
229,-20
230,0
231,-13
232,-15
233,-5
234,-11
235,-1
236,1
237,-20
238,-5
239,-20
240,-20
241,-10
242,-7
243,-20
244,-1
245,-7
246,-8
247,-12
248,-15
249,-3
250,-20
251,0
252,-20
253,-20
254,-15
255,-18
256,-9
257,-12
258,-14
259,-7
260,-20
261,-5
262,-2
263,0
264,1
265,-20
266,-1
267,-13
268,-20
269,-20
270,1
271,0
272,0
273,0
274,-12
275,-15
276,-20
277,-20
278,-13
279,-20
280,-3
281,-20
282,-16
283,-17
284,-6
285,-12
286,-20
287,-6
288,-3
289,-4
290,-2
291,-9
292,-4
293,-7
294,-4
295,-6
296,-4
297,-6
298,-20
299,-7
300,-3
301,-20
302,0
303,-4
304,-9
305,-3
306,-5
307,-2
308,-7
309,-13
310,-13
311,0
312,-4
313,-3
314,-12
315,-4
316,-3
317,-2
318,-15
319,-3
320,-20
321,-6
322,1
323,0
324,-1
325,-20
326,-17
327,-20
328,-10
329,-12
330,-13
331,-20
332,-18
333,-6
334,-16
335,-11
336,-10
337,-7
338,-20
339,-6
340,-4
341,-10
342,-5
343,-6
344,-4
345,-16
346,-20
347,1
348,-3
349,-20
350,-20
351,-8
352,-8
353,1
354,-4
355,-11
356,-17
357,-12
358,-3
359,1
360,1
361,-4
362,1
363,-15
364,-9
365,1
366,-2
367,-9
368,-11
369,-12
370,-18
371,-20
372,-6
373,-12
374,-20
375,-14
376,-20
377,-12
378,-5
379,-3
380,-20
381,-15
382,-20
383,0
384,-20
385,-6
386,-13
387,-6
388,-11
389,-20
390,-5
391,-4
392,0
393,-2
394,0
395,-20
396,-20
397,-3
398,-20
399,-20
400,-20
401,-13
402,-20
403,-20
404,-1
405,-7
406,-20
407,-20
408,-20
409,-1
410,-1
411,-11
412,-3
413,1
414,-20
415,-12
416,-15
417,1
418,-20
419,-6
420,-2
421,-14
422,-6
423,-8
424,-1
425,-16
426,-2
427,-20
428,-20
429,-20
430,-14
431,-4
432,-17
433,-20
434,-20
435,-2
436,-20
437,-20
438,-20
439,-20
440,-20
441,-2
442,-2
443,-20
444,-20
445,-13
446,-20
447,-3
448,-20
449,1
450,-20
451,-20
452,-20
453,-20
454,-10
455,-7
456,-11
457,-20
458,-10
459,-20
460,-13
461,-20
462,1
463,-1
464,0
465,-20
466,-1
467,-20
468,-20
469,-20
470,-18
471,-20
472,-1
473,-20
474,-8
475,-2
476,-20
477,-20
478,1
479,-20
480,-20
481,1
482,-2
483,-20
484,-20
485,-20
486,1
487,-14
488,-20
489,-20
490,-20
491,1
492,1
493,-18
494,-20
495,-20
496,-2
497,-1
498,-5
499,-20
500,-20
501,-1
502,-20
503,-20
504,-20
505,-20
506,-20
507,-20
508,-1
509,1
510,-20
511,-20
512,-20
513,-1
514,1
515,-20
516,-20
517,-20
518,-20
519,-2
520,-20
521,-20
522,-20
523,-20
524,-20
525,-16
526,-20
527,-20
528,-20
529,-20
530,-20
531,0
532,-20
533,-20
534,-20
535,-20
536,-20
537,-20
538,-2
539,-2
540,-20
541,-20
542,-20
543,-20
544,-20
545,-20
546,-20
547,0
548,-20
549,-20
550,-20
551,-3
552,-20
553,-20
554,-20
555,-20
556,-20
557,-20
558,-20
559,-16
560,-20
561,-20
562,-20
563,-1
564,0
565,-20
566,-20
567,-20
568,-20
569,-20
570,-20
571,-20
572,-20
573,-20
574,-1
575,-20
576,-20
577,-20
578,-20
579,-20
580,-20
581,-20
582,-20
583,-20
584,1
585,0
586,-20
587,0
588,-20
589,-20
590,1
591,-20
592,-20
593,-20
594,-20
595,-20
596,-20
597,-20
598,-20
599,-20
600,-2
601,1
602,-20
603,-20
604,-20
605,-20
606,-20
607,-20
608,-20
609,-20
610,-20
611,-1
612,-20
613,-20
614,-20
615,-20
616,-20
617,-20
618,-20
619,1
620,-20
621,0
622,-20
623,-20
624,-20
625,-20
626,-20
627,-20
628,-1
629,-20
630,1
631,0
632,-20
633,-20
634,-15
635,-20
636,-20
637,-20
638,-20
639,-20
640,-20
641,-20
642,-20
643,0
644,-20
645,-20
646,-15
647,-20
648,-1
649,-20
650,-14
651,-20
652,-20
653,-20
654,-20
655,-20
656,-20
657,-20
658,0
659,-20
660,-20
661,-1
662,-20
663,1
664,-16
665,-20
666,-20
667,-20
668,-20
669,-20
670,-20
671,-20
672,-20
673,-20
674,-20
675,-20
676,-20
677,-20
678,-20
679,-20
680,-20
681,-20
682,-20
683,0
684,-20
685,-14
686,-20
687,-20
688,-20
689,1
690,-20
691,-20
692,-20
693,-20
694,-12
695,-20
696,1
697,-20
698,-20
699,1
700,-1
701,-20
702,-20
703,-20
704,-15
705,-20
706,-20
707,-20
708,-20
709,-20
710,-20
711,-20
712,-20
713,-20
714,-20
715,-20
716,-20
717,-20
718,0
719,-20
720,-20
721,-20
722,-20
723,-20
724,-11
725,-14
726,0
727,-20
728,-20
729,-20
730,-20
731,-20
732,-20
733,-20
734,-20
735,-20
736,-20
737,-20
738,-20
739,-20
740,-20
741,-20
742,-20
743,-20
744,-20
745,-20
746,-20
747,-20
748,-20
749,-20
