,SAC
0,-20
1,-2
2,-20
3,-1
4,-20
5,-20
6,-16
7,-20
8,0
9,-9
10,0
11,-8
12,-15
13,-6
14,-3
15,-2
16,-9
17,1
18,-20
19,-20
20,-12
21,-20
22,-4
23,-20
24,-16
25,1
26,-20
27,-15
28,-20
29,-3
30,-9
31,0
32,-20
33,-4
34,-13
35,-20
36,-20
37,-6
38,-7
39,-14
40,-4
41,-20
42,-9
43,-20
44,-20
45,0
46,-20
47,1
48,-14
49,-8
50,-20
51,-7
52,-20
53,-11
54,-16
55,-20
56,-20
57,-6
58,-1
59,-7
60,-1
61,-12
62,-13
63,-5
64,-20
65,-2
66,1
67,-20
68,-3
69,-4
70,-5
71,-17
72,-4
73,-10
74,-1
75,-17
76,-13
77,-1
78,-20
79,-20
80,-6
81,-14
82,-20
83,-2
84,-4
85,-1
86,-7
87,-20
88,-1
89,-15
90,-20
91,-20
92,-7
93,-4
94,-3
95,-20
96,-20
97,-7
98,-3
99,-2
100,-18
101,-10
102,-7
103,-4
104,-8
105,-13
106,-8
107,-10
108,0
109,1
110,-20
111,-15
112,-3
113,-10
114,1
115,-8
116,-11
117,-20
118,0
119,-20
120,-20
121,-13
122,-18
123,-20
124,-2
125,-9
126,-3
127,-4
128,-20
129,-5
130,-20
131,-13
132,0
133,-20
134,-11
135,-20
136,-11
137,-17
138,-20
139,-1
140,-16
141,-11
142,-2
143,-7
144,-1
145,-20
146,0
147,-1
148,-3
149,-20
150,-20
151,1
152,-13
153,0
154,-20
155,-11
156,-20
157,-12
158,-11
159,0
160,1
161,-10
162,-10
163,-20
164,-20
165,-20
166,-20
167,-18
168,-1
169,-20
170,0
171,-2
172,-20
173,-9
174,0
175,-6
176,-1
177,-20
178,-8
179,-7
180,-20
181,-20
182,-1
183,-7
184,-20
185,0
186,-2
187,-14
188,-20
189,-6
190,-20
191,-20
192,-2
193,-20
194,-12
195,-20
196,-4
197,-20
198,-3
199,-4
200,-2
201,-13
202,-20
203,-13
204,-2
205,-9
206,-7
207,-17
208,-15
209,-20
210,-20
211,-20
212,-20
213,-20
214,-5
215,1
216,-20
217,-20
218,-2
219,-20
220,-2
221,-20
222,-9
223,-20
224,-20
225,-7
226,-4
227,-11
228,0
229,-20
230,-3
231,-8
232,-5
233,-20
234,-14
235,-20
236,-3
237,-3
238,-7
239,1
240,-7
241,-2
242,1
243,-12
244,-2
245,-20
246,-17
247,-5
248,-11
249,-20
250,-20
251,0
252,-4
253,-20
254,-4
255,-20
256,-9
257,-20
258,-20
259,-1
260,-20
261,-10
262,-8
263,-2
264,-20
265,-5
266,-6
267,-14
268,-16
269,1
270,1
271,-4
272,-7
273,-10
274,-20
275,-2
276,-4
277,-20
278,-20
279,-20
280,-20
281,-20
282,-3
283,-2
284,-20
285,-16
286,-20
287,-7
288,-18
289,-20
290,-5
291,-12
292,1
293,-20
294,-3
295,-4
296,-20
297,-7
298,-2
299,0
300,-5
301,-20
302,-20
303,-20
304,-20
305,-3
306,-5
307,-15
308,-20
309,1
310,-4
311,-3
312,1
313,-1
314,-1
315,-1
316,-20
317,-20
318,-18
319,-13
320,-16
321,-16
322,-2
323,-16
324,1
325,-8
326,-5
327,-2
328,-3
329,-20
330,-18
331,-12
332,-4
333,-2
334,-1
335,-18
336,-2
337,-17
338,-20
339,-20
340,-16
341,-14
342,-5
343,-20
344,-3
345,-11
346,-18
347,-20
348,-5
349,-2
350,-8
351,-2
352,-6
353,1
354,-20
355,-11
356,0
357,-20
358,-2
359,-6
360,-20
361,-3
362,-1
363,-20
364,-5
365,-15
366,-7
367,-20
368,-2
369,-4
370,-3
371,-20
372,-12
373,-11
374,-1
375,-5
376,-18
377,-1
378,-11
379,-15
380,-9
381,-7
382,-4
383,-17
384,-12
385,-5
386,-16
387,-20
388,-14
389,0
390,1
391,-20
392,-18
393,-10
394,-20
395,1
396,0
397,-20
398,-4
399,-18
400,1
401,-11
402,-9
403,-4
404,-1
405,1
406,-16
407,0
408,-2
409,-1
410,-11
411,-4
412,-20
413,-6
414,-6
415,0
416,-9
417,-8
418,-2
419,-5
420,-11
421,-3
422,-15
423,-2
424,1
425,-15
426,-18
427,0
428,1
429,-3
430,-4
431,-12
432,-6
433,-20
434,-2
435,-11
436,-10
437,-11
438,-3
439,0
440,-20
441,-1
442,-12
443,-1
444,-6
445,-20
446,-17
447,-13
448,-3
449,-20
450,-20
451,-4
452,-3
453,1
454,-4
455,-1
456,-1
457,-20
458,-4
459,-5
460,-15
461,-20
462,-5
463,-4
464,-4
465,-4
466,0
467,-20
468,-20
469,-20
470,-9
471,-18
472,-2
473,-20
474,-18
475,-5
476,-5
477,-20
478,-5
479,-20
480,-3
481,-20
482,-20
483,-20
484,-12
485,-20
486,-20
487,-20
488,-6
489,-3
490,1
491,-20
492,-20
493,-20
494,-6
495,-3
496,0
497,-20
498,-8
499,1
500,-6
501,-4
502,-8
503,0
504,-20
505,-20
506,-20
507,-20
508,-20
509,-1
510,-20
511,1
512,-20
513,-20
514,-8
515,-2
516,-20
517,-20
518,-20
519,-7
520,-1
521,-20
522,1
523,-20
524,-15
525,-1
526,-5
527,-20
528,-20
529,-20
530,-20
531,-20
532,-20
533,1
534,-20
535,-3
536,-11
537,-20
538,-20
539,-20
540,-20
541,-3
542,-20
543,-20
544,-2
545,-9
546,-20
547,-6
548,-20
549,-8
550,-20
551,-14
552,-20
553,-20
554,-9
555,-4
556,1
557,-20
558,-20
559,-20
560,-20
561,1
562,-4
563,-20
564,-13
565,-20
566,-20
567,-20
568,-20
569,-20
570,-20
571,-20
572,-20
573,-20
574,-1
575,-20
576,-20
577,-20
578,-20
579,1
580,-14
581,-20
582,-20
583,-13
584,-20
585,-20
586,-20
587,-20
588,-20
589,-20
590,1
591,-20
592,-20
593,1
594,-20
595,-20
596,-20
597,-7
598,-7
599,-20
600,-20
601,-20
602,-20
603,-20
604,-20
605,-5
606,-20
607,-20
608,-20
609,-1
610,1
611,-4
612,-20
613,-20
614,-20
615,-20
616,-13
617,-20
618,-20
619,-20
620,-20
621,-20
622,-20
623,-20
624,-12
625,-20
626,-20
627,-20
628,-20
629,-20
630,-20
631,-20
632,-20
633,-20
634,-20
635,1
636,-20
637,-20
638,-2
639,-20
640,1
641,-20
642,-20
643,0
644,-20
645,-20
646,-20
647,1
648,-20
649,-20
650,-20
651,-20
652,1
653,1
654,-20
655,0
656,-20
657,-20
658,-20
659,-20
660,-20
661,-2
662,1
663,-1
664,-20
665,-20
666,-20
667,-3
668,-20
669,-20
670,-20
671,-20
672,-20
673,-20
674,-20
675,-20
676,-20
677,-2
678,-20
679,-20
680,-3
681,-20
682,-20
683,-20
684,-20
685,-20
686,1
687,-20
688,-20
689,-20
690,-20
691,-20
692,-20
693,-20
694,-4
695,-20
696,-20
697,-20
698,-20
699,1
700,-20
701,-20
702,-20
703,1
704,-20
705,-20
706,-20
707,-20
708,1
709,-20
710,-20
711,1
712,-20
713,-3
714,-1
715,-20
716,-20
717,1
718,-20
719,-20
720,-1
721,-20
722,-4
723,-5
724,-20
725,-20
726,-20
727,-20
728,0
729,-20
730,-20
731,-20
732,-20
733,-20
734,-20
735,-2
736,0
737,-1
738,-20
739,-20
740,-20
741,-20
742,-20
743,-20
744,-20
745,-20
746,-20
747,-20
748,-20
749,0
